Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,Return on Equity,Return on Assets,Net Profit Margin,5Y Avg EBITDA Margin,EBITDA Margin,1Y Return vs Nifty,5Y CAGR,Debt to Equity,Long Term Debt to Equity
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing,1679534.21004169,2467.4,34.1869038031609,7.79327701365584,3.95702111893294,9.72537033334455,17.7204943756918,20.4338091627685,2.41229503539891,31.3161801309262,33.8550370763242,22.831210159213
Tata Consultancy Services Ltd,TCS,IT Services & Consulting,1358569.09301858,3626.7,41.8923556280783,37.7406797511885,25.9323822927329,19.3830650704377,29.0725284004738,28.9652204577105,2.80164793904623,23.8749940753093,8.94866143178583,7.46544519447123
HDFC Bank Ltd,HDFCBANK,Private Banks,820636.27490988,1486.5,25.7792579731186,16.4352004229457,1.8834334766503,20.4209159723686,28.2061160124953,28.3420941568116,-16.8333096307193,15.5878574220899,,
Infosys Ltd,INFY,IT Services & Consulting,777500.97598866,1853.05,40.1788525651729,27.135304923366,19.4178946470591,18.8472139705668,28.656802120749,29.3066336816885,21.7308437107461,29.1145348466698,6.93521919199813,5.97405641947331
ICICI Bank Ltd,ICICIBANK,Private Banks,500279.04190316,710.75,27.2122827510611,12.3828973275142,1.24333269519827,11.3950119275574,11.9005430056793,16.9635544895708,5.05525802237792,23.5069867270152,,
Hindustan Unilever Ltd,HINDUNILVR,FMCG - Household Products,493895.83122871,2051.2,61.7755886464928,28.5841973543082,17.9879180587898,16.8121122910314,23.1185213904172,24.8049626747976,-27.3809474889766,17.8204771258104,0,0
State Bank of India,SBIN,Public Banks,447926.25289146,490.6,19.9918436314138,8.23440031450697,0.49455986248223,5.81449439088379,3.93068414367723,9.47402810556729,16.0850011647891,12.4915841833355,,
Housing Development Finance Corporation Ltd,HDFC,Home Financing,437634.04331285,2391.9,23.3528624408273,12.5161548211336,2.40409350900872,12.8362984699715,20.5658835177413,16.8451219242385,-21.6188673745241,10.4010674746307,269.907075624329,251.278195470562
Bajaj Finance Ltd,BAJFINANCE,Consumer Finance,423044.10954736,6870.4,95.7152349071591,12.7655530915559,2.63148744634107,16.5641484013259,29.3119804486425,23.6761914398841,9.88850327174264,42.3711859469504,356.584641646268,316.757438903788
Bharti Airtel Ltd,BHARTIARTL,Telecom Services,416050.84589812,708.2,-27.583176709525,-16.4526841484957,-4.2880795737478,-13.4211437179509,28.7468947647427,36.5382373798895,20.0411941398223,15.573557161158,200.408733099748,167.025210953062
Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks,361606.019042,1777.1,36.1960378252309,13.1471236172122,2.16613594741201,17.583825473552,23.7624368366446,23.9891669014941,-19.2091846601928,15.6346910641122,,
Wipro Ltd,WIPRO,IT Services & Consulting,328522.2353046,600,30.4288684473158,19.5303907380608,13.2013249745973,16.780595163712,24.0133895079757,26.6948612497008,30.064463556017,26.195507410749,18.9850102087526,3.80939059922835
HCL Technologies Ltd,HCLTECH,IT Services & Consulting,324798.57534024,1168.05,29.1429856743149,19.9904935293221,13.1998152381178,14.6056666579299,24.8967495620219,27.4880088066469,5.51611599588467,22.1432083642952,10.8202123764189,9.53863053826437
ITC Ltd,ITC,FMCG - Tobacco,301787.82322859,244.5,22.930131943129,20.8337528200589,17.4237882443884,25.3561386940149,40.0408528846891,37.8414436741962,-6.43290767500406,-3.21513698455845,0.446220929035171,0.350182019189658
Asian Paints Ltd,ASIANPAINT,Paints,300791.957353,3045.75,95.8152822303768,26.4218418337202,17.2047424582752,14.2407337178899,21.1394515119924,23.5308767199348,10.2154003758494,23.3013094231791,8.26296474074298,4.35318973630203
Adani Green Energy Ltd,ADANIGREEN,Renewable Energy,297350.3949136,1876.05,1415.95426149333,9.46798917944094,0.891416928431955,5.83495415393165,67.9508082728786,72.9647124201167,41.2088112723342,,1138.71119473189,943.085606773283
Avenue Supermarts Ltd,DMART,Retail - Department Stores,271599.926319025,4095.2,247.023553028246,9.45216084207954,8.54596422010467,4.5173499451709,8.6034710711523,7.96761776339224,22.238578641219,44.5995144260126,3.22313242411633,2.56079434607862
Adani Transmission Ltd,ADANITRANS,Power Infrastructure,262832.61363534,2289.05,214.725510306314,12.5004404116636,2.95145794002443,11.0855716580901,53.3688670801061,45.878366996506,182.032271669364,104.27788164025,268.994877709556,237.545071965487
Bajaj Finserv Ltd,BAJAJFINSV,Insurance,260203.2167946,16180.8,58.2050206901752,8.19100258732092,1.68331717778703,7.37802304842075,18.4635808693714,17.0994083830473,55.2962260652989,31.8710191621935,220.367266053888,195.144129805513
Larsen & Toubro Ltd,LT,Construction & Engineering,251193.84467908,1756.3,21.686554669594,13.8974202690234,3.75592263420597,7.84505266979259,18.5081247931778,21.3831907741677,8.35120367829439,11.2051511837173,149.932437683421,92.7792549547571
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches",239968.599048,2707.25,246.627542700925,13.7283950617284,6.48926237161531,4.45716903344022,10.1869519009987,8.7265231333028,68.6397242012425,42.3174826736073,75.1532924553452,14.2362036790189
Maruti Suzuki India Ltd,MARUTI,Four Wheelers,232390.190158,7705.55,52.9471167569661,8.61175205625668,6.50668888388145,5.97340947476296,15.2290269033748,11.5095410419272,-7.776606270656,4.86556159805849,1.0302739397264,0.0799990857247346
Axis Bank Ltd,AXISBANK,Private Banks,226920.946084775,725.9,31.5364645570328,7.56540377362299,0.742455748710895,8.90005360680804,9.19240432075297,13.2711853882733,-16.1469448058103,8.25251984577944,,
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Pharmaceuticals,218723.3758652,913.8,75.3226356541384,5.88983141949274,4.2760918515521,8.45182582687644,22.0637678784848,14.6133384714927,41.9161191394051,5.5341276169349,7.81849897220746,1.81514366561082
Oil and Natural Gas Corporation Ltd,ONGC,Oil & Gas - Exploration & Production,214242.15487818,172.55,13.1851955374975,6.9720838640679,3.09484034331346,5.15402531854999,18.842922312813,19.2624309174083,40.0550941191202,-2.3212117586506,54.9005285684118,36.6073516471508
Adani Enterprises Ltd,ADANIENT,Commodities Trading,200126.941753095,1802.95,216.906856144429,4.97112738567803,1.87353706065622,2.28994466000164,6.83782836118833,7.44574523348058,86.5595967541236,77.0617635427016,84.617617864824,50.3611579264104
Adani Total Gas Ltd,ATGL,Gas Distribution,194314.44546444,1814.15,419.848851528542,27.1864050352592,16.2965936379834,26.599462056599,31.4671791140403,42.1969470562542,129.321973073499,,27.3582368940875,17.8580662509179
UltraTech Cement Ltd,ULTRACEMCO,Cement,183864.29920104,6191.25,33.6556715419889,13.1274533927466,6.60631805423009,11.9791531904574,22.1486033070022,26.7216620260998,-23.3042376462368,9.08736713315776,46.3729844003223,30.6662003965559
Nestle India Ltd,NESTLEIND,FMCG - Foods,176288.42344872,17876.45,82.1911096522477,105.755152721668,27.6318661524468,14.236407491826,24.0478121767342,23.0661448743596,-7.43293841415317,23.0563954687577,7.3038715619955,4.82731981736607
JSW Steel Ltd,JSWSTEEL,Iron & Steel,164987.679727,681.3,20.8554771491594,19.2437271190357,5.64795082406108,9.83563755719117,21.2648287946291,25.6751044360454,38.5488475566938,28.7735487713669,135.076130038336,111.853761018821
Tata Steel Ltd,TATASTEEL,Iron & Steel,159191.559448495,1302.95,21.2532555049778,9.7483623329918,3.03826944930712,4.74994524089125,16.060094656479,19.4583750236063,61.657046055315,21.2883800229895,114.18291812054,93.4205109249379
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Ports,156336.7427523,735.15,31.3030340092305,17.179447886262,7.32523582095025,32.7816019224067,64.767108182201,69.9349592748836,-8.97306897461669,17.6788206756306,108.174505380939,101.947484920454
Tata Motors Ltd - DVR,TATAMTRDVR,Four Wheelers,154634.8056439,206.85,-11.8290788815775,,,-5.1784727763188,,8.38724955527684,38.0368664451548,-6.1527452611333,,
Tata Motors Ltd,TATAMOTORS,Four Wheelers,154634.8056439,427.95,-11.4958235278213,-22.286693236729,-4.06540362037406,-5.28895281809734,7.71789028506044,8.32367625784351,22.4188074409173,-2.01293227487641,250.140874171356,173.39751120244
Power Grid Corporation of India Ltd,POWERGRID,Power Transmission & Distribution,147565.70533792,204.9,12.259892471534,17.8806106330899,4.69771655636893,29.0018408573962,85.377294889042,85.95789641081,2.58065717465717,7.16790669440739,204.773202154482,184.704101903353
Tech Mahindra Ltd,TECHM,IT Services & Consulting,145066.564338,1479.8,32.7611933915989,18.6635026943641,11.5132904661739,11.4586190656102,18.424342352548,19.6271549604848,33.459083126222,25.4140041458964,11.4908197825269,3.85628552754065
Vedanta Ltd,VEDL,Metals - Diversified,140322.19615506,400.05,12.0946557623737,15.5557194285599,6.3708922379118,12.6878239758535,26.3776086628776,32.8743903239212,63.9417520156791,8.8626011621381,73.6598723811,49.0325247358495
Hindustan Zinc Ltd,HINDZINC,Mining - Diversified,131006.015595,311.4,16.4167939342105,21.97650881952,17.2164570343682,32.6407068062827,56.6128835334625,55.1824280104712,-6.19933435341313,0.271954289118859,22.2108748800792,13.3444743601646
Hindalco Industries Ltd,HINDALCO,Metals - Aluminium,129174.37136296,589.95,37.087100592294,5.57860174581565,1.94891307388859,2.61213898409318,13.0250058149092,12.4284717899489,59.9531727638416,24.3650927957051,100.996348225959,90.0365177404085
NTPC Ltd,NTPC,Power Generation,128868.69292086,132.9,8.80573632000673,11.6416478928582,3.77341964364816,12.3797941087101,29.8384276382445,33.0455807881717,6.38972722794684,-0.332253060476473,164.356805679743,140.235844699509
Pidilite Industries Ltd,PIDILITIND,Diversified Chemicals,127600.7237016,2485.25,112.800208362373,21.5381188203643,14.7518376060295,15.3361740434295,23.0183121072883,23.8660320034056,25.8303762026173,28.8355743425423,5.67460997771301,1.59557689010801
Divi's Laboratories Ltd,DIVISLAB,Labs & Life Sciences Services,119576.3398323,4456.25,60.2615241886519,23.9005861653416,20.560289625617,28.2181639258471,37.7039881210726,41.5777393500532,16.1224152204145,47.6775331292084,0.0519656015690814,0.0397004285279318
Indian Oil Corporation Ltd,IOC,Oil & Gas - Refining & Marketing,114240.81851847,118,5.27958729111467,20.6976894006007,6.31674068918888,5.86964554661851,8.56417594211086,12.1050946607468,3.39491885134997,-8.70426978917708,103.403044250097,54.0136023909801
SBI Life Insurance Company Ltd,SBILIFE,Insurance,112895.913887425,1095.8,77.5463913778378,15.209838519855,0.74200357171881,1.75870412673638,3.69171191135193,2.10126395722623,4.75709885310902,,0,0
HDFC Life Insurance Company Ltd,HDFCLIFE,Insurance,111995.39062241,522.35,82.2969061133025,17.6205344801802,0.87272987991507,1.89080417289353,3.7107502011689,2.3333168456873,-40.2254133754188,,6.94461323712729,6.94461323712729
Coal India Ltd,COALINDIA,Mining - Coal,108802.968613185,182.3,8.56723708734367,36.5414827108375,8.16508242336345,13.5366744195887,23.502363260107,23.8363182314256,17.6503308706298,-9.00732559299195,15.9175820191545,7.27330482563658
Larsen & Toubro Infotech Ltd,LTI,IT Services & Consulting,107157.54432606,5992.4,55.347112404349,30.4605025094004,19.8366836745149,15.3121589345312,21.8479349535296,23.7223390961864,30.950400133319,53.3809850861732,10.9249907624092,8.72439134540379
Grasim Industries Ltd,GRASIM,Cement,106364.49499566,1569.45,24.7082328635482,4.44893984719812,1.68475453146984,5.52775582348709,22.1876660856238,25.3809335171287,-4.88883175128931,7.52389032152809,75.7536205490655,52.5718991499114
Bajaj Auto Ltd,BAJAJ-AUTO,Two Wheelers,105631.9838159,3589.05,21.7483114782109,19.8506892640174,16.1599741015605,16.5633719435299,23.0311451198485,22.1916896343114,-17.7699620181509,4.30650107086994,0.445341695070369,0.445341695070369
Dabur India Ltd,DABUR,FMCG - Personal Products,99044.159460075,549.55,58.4917967637601,23.6124561876893,16.7904490872493,17.1527438008325,22.9335413828859,23.5715754531301,-11.3826697176528,14.2629497870018,6.61097994602752,1.74189828342567
Mahindra and Mahindra Ltd,M&M,Four Wheelers,94899.83460576,783.5,52.3588183138998,3.68717227214878,1.09620512557499,2.35152700897736,16.073136310967,16.3972461358522,-23.954802840324,3.89630404072898,158.110630074925,108.39909713748
DLF Ltd,DLF,Real Estate,89866.19148633,353.9,82.1738933315624,3.12774696026302,1.99968732314787,18.3957987448044,41.9064705116755,31.1598700732898,7.03973091586553,19.0082782577081,18.5064636613259,9.00784504582339
Shree Cement Ltd,SHREECEM,Cement,86919.24354696,23390.3,38.024578627376,15.9367318987367,11.027627321222,16.3947912378269,29.1131236340151,32.402066750534,-29.2644330572714,7.48768618973659,13.8126053090998,8.6192443701909
Siemens Ltd,SIEMENS,Conglomerates,84790.452114225,2348.9,77.7680015722508,10.9858885289509,6.44808355363151,7.84050050337983,13.5501828889701,12.8383431612254,11.3648902487557,13.4909714521872,0.0395863707022236,0
Cipla Ltd,CIPLA,Pharmaceuticals,84594.4516746,1050.3,35.1763096028476,13.8837804142671,9.96257721155796,12.3799134955044,20.6635820793972,23.2601549091456,21.9805222701449,12.1554397958192,9.44581258921562,6.47141145371226
Britannia Industries Ltd,BRITANNIA,FMCG - Foods,80834.19579612,3237.55,43.3683114953163,46.4669279325096,23.5495081060012,13.8581780276613,17.599495956988,20.984370051049,-22.7060906373914,14.4710356690203,58.7873883928571,20.8635602678571
SBI Cards and Payment Services Ltd,SBICARD,Payment Infrastructure,80587.002223855,842.15,81.8541037499035,16.9114293689477,3.76348658828809,10.1355010202212,17.3915714902709,14.8965674859321,-31.1403661583073,,286.701903989667,82.392181566892
Bharat Petroleum Corporation Ltd,BPCL,Oil & Gas - Refining & Marketing,78755.18329032,357.2,4.87196292790464,35.0864421175004,10.36720140499,6.80111189166104,7.46414238588796,11.9864812324631,-33.5949987144812,-3.54877601511016,101.823879265982,80.9545051561869
SRF Ltd,SRF,Textiles,76719.6896905,2605.45,64.0430152515986,20.3217373750397,10.077829473407,14.1493599987716,21.2336155781504,25.9776598999101,129.016258078638,52.06332884209,50.5889370837842,29.5903693180989
Godrej Consumer Products Ltd,GODREJCP,FMCG - Personal Products,76335.67754735,722.25,44.3600594759185,19.8511183428062,11.8171670374367,15.450296199063,22.2691697927405,21.7445487341283,-8.70098251799736,5.00117912839129,19.747746029728,5.8015234826092
Tata Power Company Ltd,TATAPOWER,Power Transmission & Distribution,74051.994001725,227.95,65.6850343289088,4.78234108105561,1.19716820203681,3.27805169667044,27.2933656620108,25.2847120110422,102.76826668827,21.0647014059049,184.986273028124,131.437973572609
Fsn E-Commerce Ventures Ltd,NYKAA,Business Support Services,73490.09007016,1503.3,1188.19870768245,15.2023497892318,5.09791962019059,2.52177245743363,,7.12538326048667,-16.098752034726,,67.7845921881049,22.2192791214165
Interglobe Aviation Ltd,INDIGO,Airlines,73072.64196096,1814.05,-12.5847796255117,-193.909307525201,-13.637760599397,-37.036496043078,11.5674952180245,6.70517598687044,-7.05511173657738,14.1728609395716,26934.5570990437,18638.0570088399
